user_id,experienced,group,patient_id,transform_type,task_id,task_index,duration_seconds,a_vertebralis_r_rel,a_vertebralis_r_abs_5,a_vertebralis_l_rel,a_vertebralis_l_abs_5,a_carotisexterna_r_rel,a_carotisexterna_r_abs_5,a_carotisexterna_l_rel,a_carotisexterna_l_abs_5,lymph_node_abs,lymph_node_tre_linear,lymph_node_tre_nonlinear,recurrence,slider_total_distance_mm,slider_usage_count,pan_total_distance_px,pan_usage_count,zoom_total_distance_px,zoom_usage_count,window_level_total_distance_px,window_level_usage_count,drag_scroll_total_distance_px,drag_scroll_usage_count,wheel_scroll_distance_c,double_click_Red1_count,double_click_Red2_count,double_click_Green1_count,double_click_Green2_count,double_click_Yellow1_count,double_click_Yellow2_count,synchronised_count,arrow_key_Red1_count,arrow_key_Red2_count,arrow_key_Green1_count,arrow_key_Green2_count,arrow_key_Yellow1_count,arrow_key_Yellow2_count
rad_1,False,1,calibration_1_start_0e5fp8GltvE,TransformType.NONLINEAR,a_vertebralis_r,task_idx_0021,47.37,0.9537471534184124,True,,,,,,,,,,,0.0,0.0,168.88943590772513,6.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,calibration_1_start_0e5fp8GltvE,TransformType.NONLINEAR,a_vertebralis_l,task_idx_0022,39.287,,,3.7656897224745554,True,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,calibration_1_start_0e5fp8GltvE,TransformType.NONLINEAR,a_carotisexterna_r,task_idx_0023,36.094,,,,,2.4955638596262477,True,,,,,,,0.0,0.0,440.2238067165382,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,calibration_1_start_0e5fp8GltvE,TransformType.NONLINEAR,a_carotisexterna_l,task_idx_0024,34.272,,,,,,,0.4143358670601523,True,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,calibration_1_start_0e5fp8GltvE,TransformType.NONLINEAR,lymph_node,task_idx_0025,92.516,,,,,,,,,True,7.07,5.45,,0.0,0.0,225.39742678211746,2.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,calibration_1_start_0e5fp8GltvE,TransformType.NONLINEAR,recurrence,task_idx_0026,270.14500000000004,,,,,,,,,,,,fp,0.0,0.0,492.46851445776076,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1822.0,4.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,calibration_2_LB9oATPd0mE,TransformType.NONE,a_vertebralis_r,task_idx_0027,148.356,3.566278025168078,True,,,,,,,,,,,0.0,0.0,2756.1138269734956,59.0,551.076952757462,33.0,743.9600647937132,64.0,5854.053125644781,398.0,60.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,calibration_2_LB9oATPd0mE,TransformType.NONE,a_vertebralis_l,task_idx_0028,69.927,,,3.4147886140673727,True,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,calibration_2_LB9oATPd0mE,TransformType.NONE,a_carotisexterna_r,task_idx_0029,172.215,,,,,4.209359640861893,True,,,,,,,0.0,0.0,520.0857347298229,3.0,0.0,0.0,471.81777377701223,27.0,1609.4983967586431,111.0,642.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,calibration_2_LB9oATPd0mE,TransformType.NONE,a_carotisexterna_l,task_idx_0030,78.01499999999999,,,,,,,2.55725813098262,True,,,,,0.0,0.0,0.0,1.0,0.0,0.0,350.70885277349373,39.0,0.0,0.0,261.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,calibration_2_LB9oATPd0mE,TransformType.NONE,lymph_node,task_idx_0031,46.932,,,,,,,,,True,3.2,3.21,,0.0,0.0,502.53457592488104,2.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,calibration_2_LB9oATPd0mE,TransformType.NONE,recurrence,task_idx_0032,254.87400000000002,,,,,,,,,,,,fn,0.0,0.0,1851.1887510996353,72.0,0.0,0.0,1291.178276462196,48.0,4236.700337621983,364.0,1247.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,calibration_3_2VO-i_onOGw,TransformType.LINEAR,a_vertebralis_r,task_idx_0033,84.008,12.576391897165403,False,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,calibration_3_2VO-i_onOGw,TransformType.LINEAR,a_vertebralis_l,task_idx_0034,95.256,,,6.204389155756925,False,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,calibration_3_2VO-i_onOGw,TransformType.LINEAR,a_carotisexterna_r,task_idx_0035,57.394,,,,,4.72842264495466,True,,,,,,,0.0,0.0,760.8891117829671,19.0,336.02209540856694,20.0,0.0,0.0,259.1347327054288,69.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,calibration_3_2VO-i_onOGw,TransformType.LINEAR,a_carotisexterna_l,task_idx_0036,30.755,,,,,,,4.26220229360175,True,,,,,0.0,0.0,0.0,1.0,290.0913128663264,17.0,0.0,0.0,0.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,calibration_3_2VO-i_onOGw,TransformType.LINEAR,lymph_node,task_idx_0037,30.511,,,,,,,,,True,3.2,2.47,,0.0,0.0,473.08772970771497,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
